1340011039,59.985
1340011040,60.008,122.893
1340011041,59.992,122.872
1340011042,59.978,122.849
1340011043,59.994,122.883
1340011044,59.978,122.871
1340011045,60.015,122.856
1340011046,59.984,122.862
1340011047,60.003,122.856
1340011048,59.991,122.887
1340011049,59.978,122.834
1340011050,60.006,122.835
1340011051,59.987,122.817
1340011052,59.979,122.847
1340011053,60.004,122.858
1340011054,59.986,122.86
1340011055,59.981,122.849
1340011056,59.978,122.845
1340011057,60.009,122.869
1340011058,59.987,122.868
1340011059,59.978,122.861
1340011060,59.978,122.785
1340011061,59.988,122.836
1340011062,59.982,122.847
1340011063,59.978,122.841
1340011064,59.986,122.856
1340011065,59.987,122.846
1340011066,59.979,122.857
1340011067,60.012,122.784
1340011068,59.988,122.821
1340011069,59.979,122.781
1340011070,60.004,122.823
1340011071,59.986,122.784
1340011072,59.981,122.782
1340011073,59.978,122.792
1340011074,60.008,122.757
1340011075,59.984,122.764
1340011076,59.979,122.752
1340011077,59.978,122.748
1340011078,59.978,122.77
1340011079,59.98,122.804
1340011080,59.978,122.761
1340011081,59.977,122.793
1340011082,59.977,122.812
1340011084,59.977,122.833
1340011085,59.978,122.815
1340011086,59.978,122.76
1340011087,59.978,122.77
1340011088,59.978,122.782
1340011089,59.978,122.797
1340011090,59.978,122.804
1340011091,59.977,122.79
1340011092,59.978,122.751
1340011093,59.977,122.759
1340011094,59.977,122.761
1340011095,59.979,122.769
1340011096,59.978,122.727
1340011097,59.978,122.746
1340011098,59.978,122.81
1340011099,59.978,122.802
1340011100,59.978,122.8
1340011101,59.976,122.767
1340011102,59.976,122.776
1340011103,59.977,122.805
1340011104,59.979,122.801
1340011105,59.977,122.791
1340011106,59.978,122.802
1340011107,59.978,122.879
1340011108,59.978,122.876
1340011109,59.978,122.977
1340011110,59.979,123.278
1340011111,59.978,123.281
1340011112,59.977,123.255
1340011113,59.98,123.284
1340011114,59.978,123.214
1340011115,59.978,123.28
1340011116,60.002,123.267
1340011117,59.985,123.27
1340011118,59.984,123.288
1340011119,59.978,123.26
1340011120,60.005,123.287
1340011121,59.989,123.283
1340011122,59.978,123.28
1340011123,60.003,123.262
1340011124,59.987,123.231
1340011125,59.981,123.25
1340011126,59.978,123.272
1340011127,59.985,123.261
1340011128,59.986,123.273
1340011129,59.978,123.28
1340011130,59.978,123.243
1340011131,59.983,123.253
1340011132,59.985,123.238
1340011133,59.978,123.27
1340011134,59.978,123.248
1340011135,60.004,123.248
1340011136,59.983,123.263
1340011137,59.982,123.267
1340011138,59.978,123.272
1340011139,59.978,123.286
1340011140,60.003,123.282
1340011141,59.981,123.29
1340011142,59.981,123.294
1340011143,59.98,123.282
1340011144,59.978,123.304
1340011145,59.978,123.227
1340011146,59.984,123.276
1340011147,59.984,123.264
1340011148,59.978,123.255
1340011149,59.978,123.266
1340011150,59.986,123.269
1340011151,59.988,123.293
1340011152,59.977,123.233
1340011153,60.008,123.245
1340011154,59.99,123.256
1340011155,59.978,123.274
1340011156,59.991,123.279
1340011157,59.981,123.246
1340011158,60.003,123.244
1340011159,59.987,123.242
1340011160,59.982,123.242
1340011161,59.978,123.234
1340011162,59.987,123.241
