1336641391,60.016
1336641392,60.027,122.995
1336641393,60.023,122.935
1336641394,60.017,122.999
1336641395,60.016,122.949
1336641396,60.017,122.988
1336641398,60.016,122.943
1336641399,59.993,123.001
1336641400,59.998,123.04
1336641401,60.027,123.002
1336641402,60.027,123.052
1336641403,60.027,123.024
1336641404,60.021,123.06
1336641405,60.015,122.997
1336641406,60.015,123.049
1336641407,60.015,122.977
1336641408,59.995,123.1
1336641409,60.027,123.036
1336641411,60.027,123.103
1336641412,60.026,123.062
1336641413,60.02,123.089
1336641414,60.014,123.047
1336641415,60.015,123.064
1336641416,60.017,123.038
1336641417,59.995,123.071
1336641418,59.998,123.018
1336641419,59.999,123.065
1336641420,60.002,122.978
1336641421,60.027,123.081
1336641423,60.027,123.004
1336641424,60.027,123.088
1336641425,60.027,123.043
1336641426,60.026,123.12
1336641427,60.027,123.091
1336641428,60.027,123.114
1336641429,60.027,123.094
1336641430,60.027,123.106
1336641431,60.027,123.125
1336641432,60.027,123.037
1336641433,60.027,123.093
1336641434,60.002,122.995
1336641436,60.026,123.08
1336641437,60.024,122.982
1336641438,60.022,123.088
1336641439,60.023,123.017
1336641440,60.026,123.08
1336641441,60.027,123.044
1336641442,60.027,123.111
1336641443,60.027,123.094
1336641444,60.027,123.126
1336641445,60.029,123.061
1336641446,60.029,123.102
1336641448,60.029,123.015
1336641449,60.027,123.119
1336641450,60.027,123.02
1336641451,60.027,123.074
1336641452,60.028,123.001
1336641453,60.026,123.042
1336641454,60.023,122.998
1336641455,60.025,123.064
1336641456,60.025,123.01
1336641457,60.026,123.033
1336641458,60.027,123.034
1336641459,60.027,123.15
1336641461,60.027,123.08
1336641462,60.027,123.144
1336641463,60.027,123.103
1336641464,60.027,123.119
1336641465,60.027,123.041
1336641466,60.027,123.013
1336641467,60.027,123.041
1336641468,60.027,122.983
1336641469,59.999,123.019
1336641470,59.997,122.98
1336641471,59.997,122.983
1336641473,59.997,122.97
1336641474,59.997,123.015
1336641475,59.998,122.963
1336641476,60.001,123.065
1336641477,60.027,123.032
1336641478,60.027,123.067
1336641479,60.026,123.028
1336641480,60.017,123.063
1336641481,60.011,123.031
1336641482,59.991,123.103
1336641483,59.998,123.004
1336641485,60.027,123.076
1336641486,60.027,123.024
1336641487,60.027,123.066
1336641488,60.021,123.017
1336641489,60.015,123.007
1336641490,60.015,122.969
1336641491,60.015,123.001
1336641492,59.996,122.963
1336641493,60.003,122.981
1336641494,60.027,122.943
1336641495,60.024,122.994
1336641496,60.015,122.964
1336641498,60.01,123.011
1336641499,59.994,122.974
1336641500,60.027,122.991
1336641501,60.02,123.061
1336641502,60.007,122.995
1336641503,59.993,123.003
1336641504,60.025,122.887
1336641505,60.01,122.985
1336641506,59.988,122.937
1336641507,60.027,122.953
1336641508,60.01,122.898
1336641510,59.989,122.935
1336641511,60.026,122.91
1336641512,60.01,122.926
1336641513,59.99,122.853
1336641514,60.02,122.907
1336641515,59.979,122.848
1336641516,59.998,122.935
1336641517,60.014,122.879
1336641518,59.985,122.923
1336641519,60.001,122.891
1336641520,60.009,122.924
1336641521,59.99,122.887
1336641523,60.024,122.938
1336641524,60.008,122.863
1336641525,59.992,122.922
1336641526,60.026,122.834
1336641527,60.011,122.901
1336641528,59.988,122.793
1336641529,60.023,122.922
1336641530,60.003,122.862
1336641531,59.997,122.911
1336641532,60.011,122.887
1336641533,59.989,122.882
1336641535,60.014,122.937
1336641536,59.985,122.918
1336641537,60.017,122.92
1336641538,59.982,122.88
1336641539,60.013,122.914
1336641540,59.986,122.839
1336641541,60.013,122.936
1336641542,59.987,122.828
1336641543,60.008,122.94
1336641544,59.991,122.882
1336641545,60.005,122.915
1336641546,59.994,122.951
1336641548,59.978,122.948
1336641549,59.994,122.923
1336641550,59.978,122.998
1336641551,60.017,122.915
1336641552,59.982,122.993
1336641553,60.009,122.895
1336641554,59.99,122.978
1336641555,59.978,122.556
1336641556,60.01,122.887
1336641557,59.988,122.836
1336641558,59.978,122.886
1336641560,60.005,122.862
1336641561,59.986,122.89
1336641562,59.98,122.836
1336641563,59.978,122.898
1336641564,59.984,122.852
1336641565,59.986,122.859
1336641566,59.978,122.825
1336641567,59.978,122.777
1336641568,59.987,122.806
1336641569,59.983,122.743
1336641570,59.978,122.783
1336641571,59.988,122.733
1336641573,59.985,122.738
1336641574,60.003,122.751
1336641575,59.989,122.769
1336641576,59.98,122.762
1336641577,60.005,122.778
1336641578,59.992,122.621
1336641579,59.978,122.608
1336641580,60.012,122.593
1336641581,59.987,122.625
1336641582,59.978,122.578
1336641583,59.99,122.637
1336641585,59.982,122.577
1336641586,60.003,122.645
1336641587,59.989,122.611
1336641588,59.979,122.64
1336641589,60.005,122.75
1336641590,59.988,122.803
1336641591,59.978,122.811
1336641592,60.007,122.833
1336641593,59.988,122.775
1336641594,59.978,122.823
1336641595,60.006,122.812
1336641596,59.99,122.825
1336641598,59.978,122.76
1336641599,60.01,122.789
1336641600,59.989,122.793
1336641601,59.978,122.802
1336641602,60.009,122.837
1336641603,59.988,122.821
1336641604,59.978,122.853
1336641605,60.004,122.811
1336641606,59.986,122.863
1336641607,59.981,122.825
1336641608,60.003,122.841
1336641610,59.989,122.826
1336641611,59.98,122.829
1336641612,60.003,122.811
1336641613,59.988,122.854
1336641614,59.981,122.819
1336641615,60.004,122.822
1336641616,59.99,122.775
1336641617,59.978,122.814
1336641618,60.013,122.78
1336641619,59.987,122.795
1336641620,59.978,122.766
1336641621,59.993,122.802
1336641623,59.978,122.821
1336641624,60.014,122.815
1336641625,59.985,122.775
1336641626,60.007,122.757
1336641627,59.992,122.684
1336641628,60.004,122.395
1336641629,59.995,121.827
1336641630,59.978,121.857
1336641631,59.996,121.88
1336641632,59.978,121.9
1336641633,59.997,121.929
1336641635,59.978,121.915
1336641636,59.997,121.933
1336641637,60.007,121.936
1336641638,59.992,121.934
